arc	type	trial_set	pos	date	huge	pattern	locale	heading_rad	species	predator	id	video
15	bar	B34	3	19/05/2015	0	bar 15	Berlin	-0.6	Da	0	na	NA
15	bar	B34	4	19/05/2015	0	bar 15	Berlin	-3.01	Da	0	na	NA
15	bar	B35	1	19/05/2015	0	bar 15	Berlin	2.46	Da	0	na	NA
15	bar	B35	2	19/05/2015	0	bar 15	Berlin	-0.97	Da	0	na	NA
15	bar	B35	3	19/05/2015	0	bar 15	Berlin	1.34	Da	0	na	NA
15	bar	B35	4	19/05/2015	0	bar 15	Berlin	-0.59	Da	0	na	NA
15	bar	B36	1	19/05/2015	0	bar 15	Berlin	-1.54	Da	0	na	NA
15	bar	B36	2	19/05/2015	0	bar 15	Berlin	-1.29	Da	0	na	NA
15	bar	B36	3	19/05/2015	0	bar 15	Berlin	-1.51	Da	0	na	NA
15	bar	B36	4	19/05/2015	0	bar 15	Berlin	-2.25	Da	0	na	NA
15	bar	B37	4	19/05/2015	0	bar 15	Berlin	2.96	Da	0	na	NA
15	bar	B37	1	19/05/2015	0	bar 15	Berlin	-0.87	Da	0	na	NA
15	bar	B37	2	19/05/2015	0	bar 15	Berlin	1.67	Da	0	na	NA
15	bar	B37	3	19/05/2015	0	bar 15	Berlin	-0.85	Da	0	na	NA
40	DoG	T1	1	14/06/2016	0	dog 40	Tenerife	3.8	Da	0	na	GOPR3991
40	DoG	T1	2	14/06/2016	0	dog 40	Tenerife	3.18	Da	0	na	GOPR3991
40	DoG	T1	3	14/06/2016	0	dog 40	Tenerife	2.75	Da	0	na	GOPR3991
40	DoG	T1	4	14/06/2016	0	dog 40	Tenerife	0.46	Da	0	na	GOPR3991
40	DoG	T2	1	15/06/2016	0	dog 40	Tenerife	0.94	Da	0	na	GOPR3993
40	DoG	T2	2	15/06/2016	0	dog 40	Tenerife	0.22	Da	0	na	GOPR3993
40	DoG	T2	3	15/06/2016	0	dog 40	Tenerife	0.1	Da	0	na	GOPR3993
40	DoG	T2	4	15/06/2016	0	dog 40	Tenerife	3.03	Da	0	na	GOPR3993
55	DoG	T3	1	15/06/2016	0	dog 55	Tenerife	0.13	Da	0	na	GOPR3995
55	DoG	T3	2	15/06/2016	0	dog 55	Tenerife	6.06	Da	0	na	GOPR3995
55	DoG	T3	3	15/06/2016	0	dog 55	Tenerife	2.34	Da	0	na	GOPR3995
55	DoG	T3	4	15/06/2016	0	dog 55	Tenerife	3.32	Da	0	na	GOPR3995
55	DoG	T4	1	15/06/2016	0	dog 55	Tenerife	2.6	Da	0	na	GOPR3996
55	DoG	T4	2	15/06/2016	0	dog 55	Tenerife	3.47	Da	0	na	GOPR3996
55	DoG	T4	4	15/06/2016	0	dog 55	Tenerife	1.23	Da	0	na	GOPR3996
55	DoG	T4	3	15/06/2016	0	dog 55	Tenerife	0.79	Da	0	na	GOPR3996
55	DoG	T5	1	15/06/2016	0	dog 55	Tenerife	0.03	Da	0	na	GOPR3997
55	DoG	T5	2	15/06/2016	0	dog 55	Tenerife	4.32	Da	0	na	GOPR3997
55	DoG	T5	3	15/06/2016	0	dog 55	Tenerife	2.57	Da	0	na	GOPR3997
55	DoG	T5	4	15/06/2016	0	dog 55	Tenerife	5.6	Da	0	na	GOPR3997
55	DoG	T6	1	15/06/2016	0	dog 55	Tenerife	2.46	Da	0	na	GOPR3998
55	DoG	T6	2	15/06/2016	0	dog 55	Tenerife	3.5	Da	0	na	GOPR3998
55	DoG	T6	3	15/06/2016	0	dog 55	Tenerife	5.16	Da	0	na	GOPR3998
55	DoG	T6	4	15/06/2016	0	dog 55	Tenerife	2.08	Da	0	na	GOPR3998
55	DoG	T7	1	15/06/2016	0	dog 55	Tenerife	3.85	Da	0	na	GOPR3999
55	DoG	T7	2	15/06/2016	0	dog 55	Tenerife	2.85	Da	0	na	GOPR3999
55	DoG	T7	3	15/06/2016	0	dog 55	Tenerife	2	Da	0	na	GOPR3999
55	DoG	T7	4	15/06/2016	0	dog 55	Tenerife	4.65	Da	0	na	GOPR3999
55	DoG	T8	1	15/06/2016	0	dog 55	Tenerife	6.27	Da	0	na	GOPR4000
55	DoG	T8	2	15/06/2016	0	dog 55	Tenerife	5.59	Da	0	na	GOPR4000
55	DoG	T8	3	15/06/2016	0	dog 55	Tenerife	3.25	Da	0	na	GOPR4000
55	DoG	T8	4	15/06/2016	0	dog 55	Tenerife	6.03	Da	0	na	GOPR4000
55	DoG	T9	1	15/06/2016	0	dog 55	Tenerife	4.81	Da	0	na	GOPR4001
55	DoG	T9	2	15/06/2016	0	dog 55	Tenerife	6.09	Da	0	na	GOPR4001
55	DoG	T9	3	15/06/2016	0	dog 55	Tenerife	1.38	Da	0	na	GOPR4001
